rewards,states,actions,next_states,dones
0,"[4.5, 0.49999991059303284, 0.5000000596046448]","[0.11157891154289246, 0.15433499217033386, 0.28792092204093933, 0.2331741899251938, 0.21299099922180176]","[4.5, 0.49999985098838806, 0.5000000596046448]",0.0
0,"[4.5, 0.49999991059303284, 0.5000000596046448]","[0.11157891154289246, 0.15433499217033386, 0.28792092204093933, 0.2331741899251938, 0.21299099922180176]","[4.5, 0.49999985098838806, 0.5000000596046448]",0.0
0,"[5.5, 0.5, 1.499999761581421]","[0.09601207077503204, 0.12859730422496796, 0.3154590427875519, 0.2583949863910675, 0.2015366405248642]","[5.5, 0.5, 1.499999761581421]",0.0
0,"[5.5, 0.49999991059303284, 1.499999761581421]","[0.09601207077503204, 0.12859730422496796, 0.3154590129852295, 0.2583949565887451, 0.201536625623703]","[5.5, 0.49999991059303284, 1.499999761581421]",0.0
0,"[4.5, 0.5, 0.5]","[0.11157891154289246, 0.15433499217033386, 0.28792089223861694, 0.2331741899251938, 0.21299101412296295]","[4.5, 0.5, 0.5]",0.0
0,"[4.5, 0.5, 0.5]","[0.11157891154289246, 0.15433499217033386, 0.28792089223861694, 0.2331741899251938, 0.21299101412296295]","[4.5, 0.5, 0.5]",0.0
0,"[5.5, 0.49999991059303284, 1.4999998807907104]","[0.09601207077503204, 0.12859727442264557, 0.3154590427875519, 0.2583949863910675, 0.201536625623703]","[5.5, 0.49999991059303284, 1.499999761581421]",0.0
0,"[4.5, 0.49999991059303284, 1.5]","[0.10754938423633575, 0.13669295608997345, 0.2962828278541565, 0.2598758339881897, 0.1995990127325058]","[4.5, 0.4999999403953552, 1.5]",0.0
0,"[4.5, 0.49999991059303284, 0.5000000596046448]","[0.11157891154289246, 0.15433499217033386, 0.28792092204093933, 0.2331741899251938, 0.21299099922180176]","[4.5, 0.49999985098838806, 0.5000000596046448]",0.0
0,"[4.5, 0.5, 1.5]","[0.10754936188459396, 0.13669297099113464, 0.2962828278541565, 0.2598758339881897, 0.199599027633667]","[4.5, 0.5, 1.5]",0.0
0,"[6.5, 0.49999988079071045, 1.499999761581421]","[0.08553237468004227, 0.12112651765346527, 0.33368709683418274, 0.25737714767456055, 0.20227685570716858]","[6.5, 0.49999988079071045, 1.499999761581421]",0.0
0,"[5.5, 0.5, 1.499999761581421]","[0.09601207077503204, 0.12859730422496796, 0.3154590427875519, 0.2583949863910675, 0.2015366405248642]","[5.5, 0.5, 1.499999761581421]",0.0
0,"[5.5, 0.5, 0.4999997615814209]","[0.1001804769039154, 0.14524510502815247, 0.3050525188446045, 0.23225140571594238, 0.21727053821086884]","[5.5, 0.5, 0.4999997615814209]",0.0
0,"[5.5, 0.5, 1.499999761581421]","[0.09601207077503204, 0.12859730422496796, 0.3154590427875519, 0.2583949863910675, 0.2015366405248642]","[5.5, 0.5, 1.499999761581421]",0.0
0,"[5.5, 0.5, 0.4999997615814209]","[0.1001804769039154, 0.14524510502815247, 0.3050525188446045, 0.23225140571594238, 0.21727053821086884]","[5.5, 0.5, 0.4999997615814209]",0.0
0,"[4.5, 0.49999985098838806, 0.5000000596046448]","[0.11157891899347305, 0.15433499217033386, 0.28792092204093933, 0.2331741899251938, 0.21299101412296295]","[4.5, 0.49999991059303284, 0.5000000596046448]",0.0
0,"[5.5, 0.5, 0.4999997615814209]","[0.1001804769039154, 0.14524510502815247, 0.3050525188446045, 0.23225140571594238, 0.21727053821086884]","[5.5, 0.5, 0.4999997615814209]",0.0
0,"[4.5, 0.5, 1.5]","[0.10754936188459396, 0.13669297099113464, 0.2962828278541565, 0.2598758339881897, 0.199599027633667]","[4.5, 0.5, 1.5]",0.0
0,"[5.5, 0.5, 1.499999761581421]","[0.09601207077503204, 0.12859730422496796, 0.3154590427875519, 0.2583949863910675, 0.2015366405248642]","[5.5, 0.5, 1.499999761581421]",0.0
0,"[5.5, 0.49999991059303284, 1.499999761581421]","[0.09601207077503204, 0.12859730422496796, 0.3154590129852295, 0.2583949565887451, 0.201536625623703]","[5.5, 0.49999991059303284, 1.499999761581421]",0.0
0,"[5.5, 0.5, 1.499999761581421]","[0.09601207077503204, 0.12859730422496796, 0.3154590427875519, 0.2583949863910675, 0.2015366405248642]","[5.5, 0.5, 1.499999761581421]",0.0
0,"[4.5, 0.49999991059303284, 0.5000000596046448]","[0.11157891154289246, 0.15433499217033386, 0.28792092204093933, 0.2331741899251938, 0.21299099922180176]","[4.5, 0.49999985098838806, 0.5000000596046448]",0.0
0,"[5.5, 0.5, 1.499999761581421]","[0.09601207077503204, 0.12859730422496796, 0.3154590427875519, 0.2583949863910675, 0.2015366405248642]","[5.5, 0.5, 1.499999761581421]",0.0
0,"[5.5, 0.5, 1.499999761581421]","[0.09601207077503204, 0.12859730422496796, 0.3154590427875519, 0.2583949863910675, 0.2015366405248642]","[5.5, 0.5, 1.499999761581421]",0.0
0,"[4.5, 0.5, 0.5]","[0.11157891154289246, 0.15433499217033386, 0.28792089223861694, 0.2331741899251938, 0.21299101412296295]","[4.5, 0.5, 0.5]",0.0
0,"[4.5, 0.5, 0.5]","[0.11157891154289246, 0.15433499217033386, 0.28792089223861694, 0.2331741899251938, 0.21299101412296295]","[4.5, 0.5, 0.5]",0.0
0,"[4.5, 0.49999991059303284, 1.5]","[0.10754938423633575, 0.13669295608997345, 0.2962828278541565, 0.2598758339881897, 0.1995990127325058]","[4.5, 0.4999999403953552, 1.5]",0.0
0,"[6.5, 0.49999988079071045, 1.499999761581421]","[0.08553237468004227, 0.12112651765346527, 0.33368709683418274, 0.25737714767456055, 0.20227685570716858]","[6.5, 0.49999988079071045, 1.499999761581421]",0.0
0,"[5.5, 0.5, 0.4999997615814209]","[0.1001804769039154, 0.14524510502815247, 0.3050525188446045, 0.23225140571594238, 0.21727053821086884]","[5.5, 0.5, 0.4999997615814209]",0.0
0,"[5.5, 0.5, 1.499999761581421]","[0.09601207077503204, 0.12859730422496796, 0.3154590427875519, 0.2583949863910675, 0.2015366405248642]","[5.5, 0.5, 1.499999761581421]",0.0
0,"[5.5, 0.5, 1.499999761581421]","[0.09601207077503204, 0.12859730422496796, 0.3154590427875519, 0.2583949863910675, 0.2015366405248642]","[5.5, 0.5, 1.499999761581421]",0.0
0,"[4.5, 0.49999991059303284, 0.5000000596046448]","[0.11157891154289246, 0.15433499217033386, 0.28792092204093933, 0.2331741899251938, 0.21299099922180176]","[4.5, 0.49999985098838806, 0.5000000596046448]",0.0
0,"[4.5, 0.49999985098838806, 0.5000000596046448]","[0.11157891899347305, 0.15433499217033386, 0.28792092204093933, 0.2331741899251938, 0.21299101412296295]","[4.5, 0.49999991059303284, 0.5000000596046448]",0.0
0,"[4.5, 0.4999999403953552, 1.5]","[0.10754937678575516, 0.13669295608997345, 0.2962828278541565, 0.2598758339881897, 0.199599027633667]","[4.5, 0.49999991059303284, 1.5]",0.0
0,"[5.5, 0.5, 1.5]","[0.09601206332445145, 0.12859727442264557, 0.3154590129852295, 0.2583949565887451, 0.201536625623703]","[4.5, 0.4999999403953552, 1.5]",0.0
